date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2012-07-27 00:00:00+00:00,237.32,238.34,224.5,225.25,11313900,237.32,238.34,224.5,225.25,11313900,0.0,1.0
2012-07-30 00:00:00+00:00,236.09,240.74,234.07,237.0,3736400,236.09,240.74,234.07,237.0,3736400,0.0,1.0
2012-07-31 00:00:00+00:00,233.3,236.3,231.61,235.1,3453600,233.3,236.3,231.61,235.1,3453600,0.0,1.0
2012-08-01 00:00:00+00:00,232.09,234.38,230.7001,234.14,2543800,232.09,234.38,230.7001,234.14,2543800,0.0,1.0
2012-08-02 00:00:00+00:00,230.81,234.34,228.66,230.56,3048100,230.81,234.34,228.66,230.56,3048100,0.0,1.0
2012-08-03 00:00:00+00:00,234.97,236.49,233.03,234.03,2825300,234.97,236.49,233.03,234.03,2825300,0.0,1.0
2012-08-06 00:00:00+00:00,233.99,235.74,233.81,235.56,1843700,233.99,235.74,233.81,235.56,1843700,0.0,1.0
2012-08-07 00:00:00+00:00,236.56,238.0,233.25,234.13,2058300,236.56,238.0,233.25,234.13,2058300,0.0,1.0
2012-08-08 00:00:00+00:00,234.38,236.45,233.592,235.29,1534300,234.38,236.45,233.592,235.29,1534300,0.0,1.0
2012-08-09 00:00:00+00:00,234.06,235.99,233.5,233.93,1548100,234.06,235.99,233.5,233.93,1548100,0.0,1.0
2012-08-10 00:00:00+00:00,232.75,234.85,231.43,233.08,1852500,232.75,234.85,231.43,233.08,1852500,0.0,1.0
2012-08-13 00:00:00+00:00,232.44,234.3676,231.0,232.23,1997300,232.44,234.3676,231.0,232.23,1997300,0.0,1.0
2012-08-14 00:00:00+00:00,233.19,236.72,232.6207,234.71,2751000,233.19,236.72,232.6207,234.71,2751000,0.0,1.0
2012-08-15 00:00:00+00:00,237.42,238.14,232.25,232.26,3264700,237.42,238.14,232.25,232.26,3264700,0.0,1.0
2012-08-16 00:00:00+00:00,241.55,242.825,236.2,237.72,4312100,241.55,242.825,236.2,237.72,4312100,0.0,1.0
2012-08-17 00:00:00+00:00,241.17,243.35,240.47,240.6,3085800,241.17,243.35,240.47,240.6,3085800,0.0,1.0
2012-08-20 00:00:00+00:00,240.35,241.65,238.2,241.3736,1889900,240.35,241.65,238.2,241.3736,1889900,0.0,1.0
2012-08-21 00:00:00+00:00,239.45,243.85,238.55,240.88,2571500,239.45,243.85,238.55,240.88,2571500,0.0,1.0
2012-08-22 00:00:00+00:00,243.1,244.9,238.8,239.4,2473700,243.1,244.9,238.8,239.4,2473700,0.0,1.0
2012-08-23 00:00:00+00:00,241.198,243.48,239.02,242.14,2453900,241.198,243.48,239.02,242.14,2453900,0.0,1.0
2012-08-24 00:00:00+00:00,245.74,246.87,241.36,241.68,3698800,245.74,246.87,241.36,241.68,3698800,0.0,1.0
2012-08-27 00:00:00+00:00,243.92,247.5,243.12,245.79,2929700,243.92,247.5,243.12,245.79,2929700,0.0,1.0
2012-08-28 00:00:00+00:00,246.11,246.7799,243.0,243.97,2742300,246.11,246.7799,243.0,243.97,2742300,0.0,1.0
2012-08-29 00:00:00+00:00,247.12,247.61,244.59,246.78,1772600,247.12,247.61,244.59,246.78,1772600,0.0,1.0
2012-08-30 00:00:00+00:00,246.22,250.0,245.25,246.99,3647500,246.22,250.0,245.25,246.99,3647500,0.0,1.0
2012-08-31 00:00:00+00:00,248.27,249.45,245.5001,248.07,3347500,248.27,249.45,245.5001,248.07,3347500,0.0,1.0
2012-09-04 00:00:00+00:00,247.88,251.0,244.66,248.27,3950800,247.88,251.0,244.66,248.27,3950800,0.0,1.0
2012-09-05 00:00:00+00:00,246.22,248.61,245.3,247.61,2652600,246.22,248.61,245.3,247.61,2652600,0.0,1.0
2012-09-06 00:00:00+00:00,251.38,252.7,247.2,248.23,5361400,251.38,252.7,247.2,248.23,5361400,0.0,1.0
2012-09-07 00:00:00+00:00,259.14,259.42,253.52,253.85,5029500,259.14,259.42,253.52,253.85,5029500,0.0,1.0
2012-09-10 00:00:00+00:00,257.09,260.0,256.82,259.0,2567200,257.09,260.0,256.82,259.0,2567200,0.0,1.0
2012-09-11 00:00:00+00:00,255.67,257.6,254.26,257.6,2524800,255.67,257.6,254.26,257.6,2524800,0.0,1.0
2012-09-12 00:00:00+00:00,255.63,257.78,253.5,256.5,2273200,255.63,257.78,253.5,256.5,2273200,0.0,1.0
2012-09-13 00:00:00+00:00,260.24,262.0,253.8,254.94,3525600,260.24,262.0,253.8,254.94,3525600,0.0,1.0
2012-09-14 00:00:00+00:00,261.27,264.11,259.77,261.4,3666200,261.27,264.11,259.77,261.4,3666200,0.0,1.0
2012-09-17 00:00:00+00:00,258.0,261.25,257.0,261.25,2306300,258.0,261.25,257.0,261.25,2306300,0.0,1.0
2012-09-18 00:00:00+00:00,258.75,260.5,257.0,258.48,2215000,258.75,260.5,257.0,258.48,2215000,0.0,1.0
2012-09-19 00:00:00+00:00,261.68,262.84,258.53,259.45,2636800,261.68,262.84,258.53,259.45,2636800,0.0,1.0
2012-09-20 00:00:00+00:00,260.81,260.87,258.0,260.03,2913600,260.81,260.87,258.0,260.03,2913600,0.0,1.0
2012-09-21 00:00:00+00:00,257.47,262.0,256.74,261.74,6059300,257.47,262.0,256.74,261.74,6059300,0.0,1.0
2012-09-24 00:00:00+00:00,254.805,255.6,253.0,255.22,2707900,254.805,255.6,253.0,255.22,2707900,0.0,1.0
2012-09-25 00:00:00+00:00,252.46,258.95,251.03,256.33,4405800,252.46,258.95,251.03,256.33,4405800,0.0,1.0
2012-09-26 00:00:00+00:00,249.67,254.61,248.23,252.4,2920500,249.67,254.61,248.23,252.4,2920500,0.0,1.0
2012-09-27 00:00:00+00:00,256.59,257.4,250.52,250.54,3397400,256.59,257.4,250.52,250.54,3397400,0.0,1.0
2012-09-28 00:00:00+00:00,254.32,257.0,253.2,256.14,2456600,254.32,257.0,253.2,256.14,2456600,0.0,1.0
2012-10-01 00:00:00+00:00,252.01,256.16,250.49,255.4,2581200,252.01,256.16,250.49,255.4,2581200,0.0,1.0
2012-10-02 00:00:00+00:00,250.6,253.15,249.03,252.8,2195800,250.6,253.15,249.03,252.8,2195800,0.0,1.0
2012-10-03 00:00:00+00:00,255.92,256.1,249.56,251.21,2745600,255.92,256.1,249.56,251.21,2745600,0.0,1.0
2012-10-04 00:00:00+00:00,260.47,261.52,255.87,256.01,2700400,260.47,261.52,255.87,256.01,2700400,0.0,1.0
2012-10-05 00:00:00+00:00,258.51,261.9,257.49,261.2,2806500,258.51,261.9,257.49,261.2,2806500,0.0,1.0
2012-10-08 00:00:00+00:00,259.06,259.8,255.56,257.67,1762300,259.06,259.8,255.56,257.67,1762300,0.0,1.0
2012-10-09 00:00:00+00:00,250.96,259.35,250.73,258.67,3494800,250.96,259.35,250.73,258.67,3494800,0.0,1.0
2012-10-10 00:00:00+00:00,244.99,252.46,244.01,252.0,3948300,244.99,252.46,244.01,252.0,3948300,0.0,1.0
2012-10-11 00:00:00+00:00,244.22,249.3,241.89,248.0,3447300,244.22,249.3,241.89,248.0,3447300,0.0,1.0
2012-10-12 00:00:00+00:00,242.36,245.46,241.91,243.33,2203200,242.36,245.46,241.91,243.33,2203200,0.0,1.0
2012-10-15 00:00:00+00:00,244.18,244.776,238.51,242.85,2959800,244.18,244.776,238.51,242.85,2959800,0.0,1.0
2012-10-16 00:00:00+00:00,243.94,245.77,242.08,244.87,2204100,243.94,245.77,242.08,244.87,2204100,0.0,1.0
2012-10-17 00:00:00+00:00,247.49,248.7999,243.3,243.37,3302700,247.49,248.7999,243.3,243.37,3302700,0.0,1.0
2012-10-18 00:00:00+00:00,244.85,250.91,242.7,247.77,5305300,244.85,250.91,242.7,247.77,5305300,0.0,1.0
2012-10-19 00:00:00+00:00,240.0,246.82,238.94,245.16,4395300,240.0,246.82,238.94,245.16,4395300,0.0,1.0
2012-10-22 00:00:00+00:00,233.78,238.95,232.32,238.81,4500000,233.78,238.95,232.32,238.81,4500000,0.0,1.0
2012-10-23 00:00:00+00:00,234.31,236.5,230.01,231.05,4430800,234.31,236.5,230.01,231.05,4430800,0.0,1.0
2012-10-24 00:00:00+00:00,228.49,235.94,227.9501,235.88,3678700,228.49,235.94,227.9501,235.88,3678700,0.0,1.0
2012-10-25 00:00:00+00:00,222.92,230.92,222.92,230.92,6741300,222.92,230.92,222.92,230.92,6741300,0.0,1.0
